type,price,profit,pair,scenario,timeframe,ema1,ema2
BUY,3.404,,SOLUSDT,StochRSI,4h,14,26
SELL,3.4122,10.060493472386952,SOLUSDT,StochRSI,4h,14,26
BUY,3.4247,,SOLUSDT,StochRSI,4h,14,26
SELL,3.551,354.63662305996877,SOLUSDT,StochRSI,4h,14,26
BUY,3.5936,,SOLUSDT,StochRSI,4h,14,26
SELL,8.3002,13541.319267670526,SOLUSDT,StochRSI,4h,14,26
BUY,8.6818,,SOLUSDT,StochRSI,4h,14,26
SELL,13.2421,12506.112722104383,SOLUSDT,StochRSI,4h,14,26
BUY,14.3406,,SOLUSDT,StochRSI,4h,14,26
SELL,12.2773,-5282.5395464556095,SOLUSDT,StochRSI,4h,14,26
BUY,13.3156,,SOLUSDT,StochRSI,4h,14,26
SELL,14.2587,2158.154265586276,SOLUSDT,StochRSI,4h,14,26
BUY,14.1552,,SOLUSDT,StochRSI,4h,14,26
SELL,13.9345,-564.8641537803378,SOLUSDT,StochRSI,4h,14,26
BUY,15.8338,,SOLUSDT,StochRSI,4h,14,26
SELL,14.1552,-3510.015114390717,SOLUSDT,StochRSI,4h,14,26
BUY,14.3317,,SOLUSDT,StochRSI,4h,14,26
SELL,12.689,-3384.5772537617668,SOLUSDT,StochRSI,4h,14,26
BUY,18.0645,,SOLUSDT,StochRSI,4h,14,26
SELL,26.4067,11874.683316712151,SOLUSDT,StochRSI,4h,14,26
BUY,26.9631,,SOLUSDT,StochRSI,4h,14,26
SELL,26.1271,-1220.1229736833193,SOLUSDT,StochRSI,4h,14,26
BUY,30.4763,,SOLUSDT,StochRSI,4h,14,26
SELL,43.865,15953.978609121928,SOLUSDT,StochRSI,4h,14,26
BUY,45.025,,SOLUSDT,StochRSI,4h,14,26
SELL,42.854,-2598.2282634477306,SOLUSDT,StochRSI,4h,14,26
BUY,44.869,,SOLUSDT,StochRSI,4h,14,26
SELL,41.049,-4306.906691228942,SOLUSDT,StochRSI,4h,14,26
BUY,43.654,,SOLUSDT,StochRSI,4h,14,26
SELL,34.988,-9089.823249984896,SOLUSDT,StochRSI,4h,14,26
BUY,34.165,,SOLUSDT,StochRSI,4h,14,26
SELL,31.149,-3263.4947073405856,SOLUSDT,StochRSI,4h,14,26
BUY,31.185,,SOLUSDT,StochRSI,4h,14,26
SELL,36.624,5732.133826640529,SOLUSDT,StochRSI,4h,14,26
BUY,39.981,,SOLUSDT,StochRSI,4h,14,26
SELL,36.82,-3126.5143436463914,SOLUSDT,StochRSI,4h,14,26
BUY,31.584,,SOLUSDT,StochRSI,4h,14,26
SELL,33.345,1942.3028086071572,SOLUSDT,StochRSI,4h,14,26
BUY,34.224,,SOLUSDT,StochRSI,4h,14,26
SELL,33.923,-384.1366487584164,SOLUSDT,StochRSI,4h,14,26
BUY,27.537,,SOLUSDT,StochRSI,4h,14,26
SELL,27.612,49.30234910875879,SOLUSDT,StochRSI,4h,14,26
BUY,28.154,,SOLUSDT,StochRSI,4h,14,26
SELL,71.305,57176.51406972546,SOLUSDT,StochRSI,4h,14,26
BUY,93.95,,SOLUSDT,StochRSI,4h,14,26
SELL,160.23,66490.25180706261,SOLUSDT,StochRSI,4h,14,26
BUY,161.54,,SOLUSDT,StochRSI,4h,14,26
SELL,154.38,-7354.058190923213,SOLUSDT,StochRSI,4h,14,26
BUY,139.52,,SOLUSDT,StochRSI,4h,14,26
SELL,158.47,20632.2064119906,SOLUSDT,StochRSI,4h,14,26
BUY,163.57,,SOLUSDT,StochRSI,4h,14,26
SELL,158.86,-5256.977837904065,SOLUSDT,StochRSI,4h,14,26
BUY,157.82,,SOLUSDT,StochRSI,4h,14,26
SELL,155.78,-2419.1099282280484,SOLUSDT,StochRSI,4h,14,26
BUY,182.6,,SOLUSDT,StochRSI,4h,14,26
