type,scenario,backtest_pair,ema_periods,price,profit,timeframe
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",37.65,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",200.69,43229.517221274895,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",211.65,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",200.67,-2832.0768213124175,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",24.98,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",18.41,-13307.032523072543,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",24.05,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",20.9,-4903.1047943373815,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",26.8,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",21.74,-6113.696398353426,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",23.13,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",88.77,73853.53658412554,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",96.96,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",151.25,55733.21412232556,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",178.15,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",155.22,-20225.127121679077,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",173.03,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",142.52,-24037.11806067849,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",154.28,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",181.45,19434.78189471671,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",242.19,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",199.32,-23309.39365621854,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",189.4,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",158.48,-17679.380877227944,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",169.55,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",210.83,21717.817560074735,1d
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",219.97,nan,1d
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",177.62,-21604.674326330773,1d
BUY,StochRSI_ADX,SOLUSDT,"(14, 26)",8.8516,nan,1d
SELL,StochRSI_ADX,SOLUSDT,"(14, 26)",35.43,29970.644132925117,1d
BUY,StochRSI_ADX,SOLUSDT,"(14, 26)",37.65,nan,1d
SELL,StochRSI_ADX,SOLUSDT,"(14, 26)",200.69,172791.1648889737,1d
BUY,StochRSI_ADX,SOLUSDT,"(14, 26)",132.14,nan,1d
SELL,StochRSI_ADX,SOLUSDT,"(14, 26)",99.67,-52505.32696627284,1d
BUY,StochRSI_ADX,SOLUSDT,"(14, 26)",103.22,nan,1d
SELL,StochRSI_ADX,SOLUSDT,"(14, 26)",108.51,7977.331018023542,1d
