backtest_pair,timeframe,scenario,ema1,ema2,profit_csv,profit_bot,delta,sell_count_csv,sell_count_bot,avg_profit_csv,avg_profit_bot,avg_delta
SOLUSDT,1d,StochRSI,14,26,472763.68923538167,472883.4552975435,-119.766062161827,23,23,20554.943010233987,20560.150230327978,-5.2072200939910545
SOLUSDT,1d,StochRSI,25,45,517000.0172782228,517130.7576761363,-130.74039791349787,21,21,24619.04844182013,24625.27417505411,-6.225733233979554
SOLUSDT,1d,StochRSI,26,50,402705.070603842,402807.4562269589,-102.3856231169193,23,23,17508.916113210522,17513.36766204169,-4.45154883116993
SOLUSDT,1d,StochRSI_ADX,14,26,125705.16028060169,110278.34430501694,15426.815975584745,16,16,7856.572517537606,6892.396519063559,964.1759984740465
SOLUSDT,1d,StochRSI_ADX,25,45,158104.47751176057,138994.5421645456,19109.93534721498,17,17,9300.26338304474,8176.149539090918,1124.1138439538217
SOLUSDT,1d,StochRSI_ADX,26,50,144287.67560514485,126748.41936802209,17539.256237122754,17,17,8487.510329714403,7455.789374589534,1031.7209551248689
SOLUSDT,1d,StochRSI_SMA,14,26,79957.26280330683,35892.209381234745,44065.05342207209,14,14,5711.23305737906,2563.7292415167676,3147.503815862292
SOLUSDT,1d,StochRSI_SMA,25,45,63104.36750930676,27294.608971767302,35809.758537539456,15,15,4206.957833953784,1819.6405981178202,2387.3172358359634
SOLUSDT,1d,StochRSI_SMA,26,50,56046.795698176415,23694.148562165043,32352.647136011372,15,15,3736.4530465450944,1579.6099041443363,2156.843142400758
SOLUSDT,1d,StochRSI_TRIX,14,26,232220.21098308198,159599.30029893533,72620.91068414666,21,21,11058.105284908666,7599.966680901683,3458.1386040069838
SOLUSDT,1d,StochRSI_TRIX,25,45,172023.84396817826,117450.62209892068,54573.221869257584,19,19,9053.88652464096,6181.611689416878,2872.2748352240824
SOLUSDT,1d,StochRSI_TRIX,26,50,153363.64388513507,104385.00356660389,48978.64031853118,20,20,7668.182194256753,5219.250178330194,2448.932015926559
SOLUSDT,1h,StochRSI,14,26,218501.03358905626,160608.5885364185,57892.44505263775,693,692,315.29730676631493,232.09333603528685,83.20397073102808
SOLUSDT,1h,StochRSI,25,45,401251.2775515632,293147.2228393079,108104.05471225531,444,442,903.7190935846019,663.2290109486604,240.49008263594146
SOLUSDT,1h,StochRSI,26,50,323975.0630420737,238400.11882102702,85574.94422104667,428,426,756.951081874004,559.6246920681385,197.32638980586546
SOLUSDT,1h,StochRSI_ADX,14,26,29246.99839959043,22260.82830972192,6986.1700898685085,396,395,73.85605656462229,56.35652736638461,17.49952919823768
SOLUSDT,1h,StochRSI_ADX,25,45,132789.41716097854,106849.01270153414,25940.4044594444,319,318,416.26776539491703,336.0031845960193,80.26458079889773
SOLUSDT,1h,StochRSI_ADX,26,50,118112.5285680717,97893.45257352712,20219.07599454459,317,315,372.5947273440748,310.7728653127845,61.821862031290266
SOLUSDT,1h,StochRSI_SMA,14,26,238760.99133016332,221985.90407577466,16775.087254388665,464,463,514.5711020046623,479.4511967079366,35.119905296725676
SOLUSDT,1h,StochRSI_SMA,25,45,216418.98300732992,204227.8847243127,12191.098283017229,331,331,653.8337855206343,617.0026728831199,36.831112637514366
SOLUSDT,1h,StochRSI_SMA,26,50,200232.87714362587,188957.24435839627,11275.632785229594,328,328,610.4660888525179,576.089159629257,34.37692922326096
SOLUSDT,1h,StochRSI_TRIX,14,26,235553.23081696685,174075.16341290073,61478.067404066125,663,662,355.2839077178987,262.9534190527201,92.33048866517862
SOLUSDT,1h,StochRSI_TRIX,25,45,371267.36482788145,275700.1192694146,95567.24555846688,376,375,987.4132043294719,735.2003180517722,252.21288627769968
SOLUSDT,1h,StochRSI_TRIX,26,50,304478.8186900034,210627.7417622122,93851.07692779123,356,355,855.2775805898973,593.3175824287667,261.95999816113056
SOLUSDT,4h,StochRSI,14,26,899936.0344636407,580547.8781890782,319388.15627456247,165,166,5454.157784628125,3497.276374633001,1956.8814099951242
SOLUSDT,4h,StochRSI,25,45,953895.5697082295,644115.8943127759,309779.6753954536,115,115,8294.744084419386,5601.007776632834,2693.736307786552
SOLUSDT,4h,StochRSI,26,50,1484782.152405979,874451.0895309066,610331.0628750725,108,109,13747.982892647955,8022.487059916574,5725.495832731381
SOLUSDT,4h,StochRSI_ADX,14,26,680668.3641530246,578535.7864469679,102132.57770605676,95,95,7164.930148979207,6089.850383652293,1075.0797653269137
SOLUSDT,4h,StochRSI_ADX,25,45,906204.4356359048,756691.2848819469,149513.15075395792,83,83,10918.125730553069,9116.762468457191,1801.3632620958779
SOLUSDT,4h,StochRSI_ADX,26,50,1718132.3720091537,931329.7807390105,786802.5912701432,77,79,22313.40742869031,11788.984566316589,10524.42286237372
SOLUSDT,4h,StochRSI_SMA,14,26,132985.45460522085,126654.55798748325,6330.896617737599,116,116,1146.426332803628,1091.8496378231314,54.57669498049654
SOLUSDT,4h,StochRSI_SMA,25,45,264324.25067372434,252178.1308075547,12146.11986616964,88,88,3003.6846667468676,2865.660577358576,138.0240893882915
SOLUSDT,4h,StochRSI_SMA,26,50,301663.07334253646,287863.7207975828,13799.35254495364,84,84,3591.2270636016246,3426.9490571140814,164.27800648754328
SOLUSDT,4h,StochRSI_TRIX,14,26,535951.8456832989,552047.8411336641,-16095.99545036524,154,154,3480.2067901512914,3584.7262411276893,-104.51945097639782
SOLUSDT,4h,StochRSI_TRIX,25,45,734639.0393363988,742817.2665118906,-8178.227175491746,90,90,8162.655992626654,8253.52518346545,-90.86919083879638
SOLUSDT,4h,StochRSI_TRIX,26,50,937644.7548661102,825334.7198688806,112310.03499722958,84,85,11162.437557929883,9709.820233751536,1452.6173241783472
